model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;7;104;55;63;436;200;171.6;158.64520162929605;55;436;772;915.5;1519;2030.5;4;1048.2;769.8726030974216;4;2030.5;146;36;70;66;107;85.0;42.40283009422838;36;146
Math;8;3;1;2;2;3;2.2;0.8366600265340756;1;3;144;315;135;436;179;241.8;130.37139256754142;135;436;12;2;1;7;1;4.6;4.8270073544588685;1;12
Math;9;4;4;4;3;2;3.4;0.8944271909999159;2;4;760;896;408.5;2070;2125;1251.9;792.3927687706395;408.5;2125;2;2;2;2;2;2.0;0.0;2;2
Math;10;30;35;49;128;250;98.4;93.53769293712561;30;250;355;1250;523;855;393;675.2;376.8463878027757;355;1250;262;188;384;187;141;232.4;95.19086090586637;141;384
Math;12;2370;2310;2379;2365;2361;2357.0;27.120103244641236;2310;2379;1576.5;1515;748;1306;1694;1367.9;374.0324852202011;748;1694;2250;2286;2295;2334;2300;2293.0;30.133038346638727;2250;2334
Math;15;294;5;8;1242;30;315.8;531.8225267887775;5;1242;2746;2043;2599;1588;1317;2058.6;619.7235674072756;1317;2746;1393;442;860;1637;710;1008.4;493.69251564106173;442;1637
Math;16;1;1;2;3;1;1.6;0.8944271909999159;1;3;1934;2286;673.5;2108;1900.5;1780.4;637.6122842292172;673.5;2286;141;118;357;407;1081;420.8;390.544747756259;118;1081
Math;17;79;19;46;37;7;37.6;27.691153822114384;7;79;391;1085;753.5;297.5;1059;717.2;366.0520113317232;297.5;1085;88;103;93;95;117;99.2;11.322543883774529;88;117
Math;19;130;241;885;107;36;279.8;346.23359166897717;36;885;1525;1892;2755;793;2019;1796.8;717.2992402059269;793;2755;435;148;158;298;84;224.6;141.1800269159912;84;435
Math;21;16;19;11;16;28;18.0;6.284902544988268;11;28;1375.5;3902;112;3271;624.5;1857.0;1656.6037924017921;112;3902;14;9;12;19;12;13.2;3.7013511046643495;9;19
Math;22;1;1;1;1;1;1.0;0.0;1;1;436;477;580;448.5;579;504.1;70.41697238592413;436;580;74;69;21;53;39;51.2;21.79908254950194;21;74
Math;23;72;170;425;40;802;301.8;317.84304302595643;40;802;298;460;447.5;349.5;95;330.0;147.76290129799156;95;460;249;441;895;301;295;436.2;266.35540167227697;249;895
Math;24;739;2180;1864;174;1691;1329.6;840.177540761475;174;2180;1798.5;1890;2054;2307;1518;1913.5;293.5898499607914;1518;2307;87;125;190;223;1237;372.4;486.2569279712115;87;1237
Math;25;544;499;547;548;546;536.8;21.182539979898536;499;548;465;388;382;331;155;344.2;116.09349680322322;155;465;544;547;546;546;547;546.0;1.224744871391589;544;547
Math;26;29;32;23;67;105;51.2;34.64390278245221;23;105;1656;467;1159;1173;1366;1164.2;438.4013001805538;467;1656;30;32;9;22;15;21.6;9.762171889492626;9;32
Math;27;2;1;1;2;2;1.6;0.5477225575051661;1;2;1473;1565;1745;1481.5;1395;1531.9;133.47115793309055;1395;1745;8;5;9;5;4;6.2;2.16794833886788;4;9
Math;28;5;9;13;13;14;10.8;3.7682887362833544;5;14;2360;1813;1208;5669;4426;3095.2;1880.262933740917;1208;5669;15;11;14;16;16;14.4;2.073644135332772;11;16
Math;29;28;15;10;20;24;19.4;7.127411872482185;10;28;1914;28;493.5;862;914;842.3;696.2068299004254;28;1914;47;51;68;62;61;57.8;8.5848704125339;47;68
Math;30;46;104;7;18;36;42.2;37.7385744298854;7;104;2600;1006;297;764;2542;1441.8;1062.046232515327;297;2600;713;1436;301;113;69;526.4;568.5752368860256;69;1436
Math;31;142;107;122;59;193;124.6;48.99285662216483;59;193;1132;2631;1147;2269.5;2372;1910.3;715.8871768651818;1132;2631;148;82;117;146;140;126.6;27.81726082848561;82;148
Math;32;4;32;8;11;34;17.8;14.113823011501882;4;34;1072.5;1666;2318;910;1871;1567.5;579.309071221917;910;2318;4;13;48;11;28;20.8;17.541379649275026;4;48
Math;33;168;138;25;66;19;83.2;67.07980321974715;19;168;1279;5161;4755;5217;4403;4163.0;1645.6336165744792;1279;5217;12;11;11;10;18;12.4;3.2093613071762426;10;18
Math;34;1;1;1;1;1;1.0;0.0;1;1;59.5;166;50;126;179;116.1;59.40791193098778;50;179;41;8;26;23;14;22.4;12.621410380777577;8;41
Math;35;66;119;199;119;73;115.2;53.03960784168752;66;199;98;251;77;313;175;182.8;100.06098140634042;77;313;4;7;51;3;5;14.0;20.73644135332772;3;51
Math;36;1;1;1;1;1;1.0;0.0;1;1;222;323;329;447;183;300.8;103.37891467799417;183;447;351;349;525;404;247;375.2;101.2136354450328;247;525
Math;37;9;6;7;9;13;8.8;2.6832815729997477;6;13;82;100;513;500.5;1256.5;490.4;476.11046512337873;82;1256.5;109;67;31;47;35;57.8;31.86220331364421;31;109
Math;38;4;5;4;3;4;4.0;0.7071067811865476;3;5;1990;431;1301.5;2776;1264.5;1552.6;879.2135263973138;431;2776;15;13;14;13;3;11.6;4.878524367060187;3;15
Math;39;191;198;106;89;1216;360.0;481.0140330593277;89;1216;628;1780;2170;1204;1293;1415.0;587.7975842073528;628;2170;347;246;176;369;287;285.0;77.95190825117753;176;369
Math;40;949;148;24;849;193;432.6;431.6877343636254;24;949;502;459;1544.5;454;753;742.5;464.9620952292778;454;1544.5;52;44;60;85;86;65.4;19.20416621465249;44;86
Math;41;42;6;38;43;25;30.8;15.61089363233252;6;43;1251.5;1089;562;482;109;698.7;466.72095517557386;109;1251.5;18;15;7;20;9;13.8;5.630275304103699;7;20
Math;42;23;27;40;74;85;49.8;28.101601377857456;23;85;107;5648;3919.5;1136;2134;2588.9;2213.9483507977325;107;5648;2052;4758;5157;3932;4677;4115.2;1235.3658162665827;2052;5157
Math;43;2030;656;797;432;229;828.8;705.5074060560953;229;2030;463.5;630;107.5;643;1935;755.8;693.6847807181588;107.5;1935;101;167;109;146;64;117.4;40.21566858825052;64;167
Math;44;7;6;6;6;9;6.8;1.3038404810405297;6;9;1995;1453;2033;2123.5;434.5;1607.8;706.6224769988569;434.5;2123.5;243;142;150;215;156;181.2;45.01888492621735;142;243
Math;45;1;2;1;2;1;1.4;0.5477225575051661;1;2;887;291;513.5;403;197.5;458.4;267.3456096516268;197.5;887;2;1;1;1;1;1.2;0.44721359549995804;1;2
Math;46;1;3;2;2;2;2.0;0.7071067811865476;1;3;629.5;2506;1915.5;1975;1921.5;1789.5;694.0249455170901;629.5;2506;4;4;3;2;3;3.2;0.8366600265340756;2;4
Math;47;2;2;2;2;2;2.0;0.0;2;2;300;644.5;669.5;690;126;486.0;257.1995820369854;126;690;7;6;6;5;7;6.2;0.8366600265340756;5;7
Math;48;24;68;15;29;81;43.4;29.194177501686873;15;81;1183;995;1913;814;2075;1396.0;564.1861394965317;814;2075;365;368;347;394;338;362.4;21.61712284278368;338;394
Math;49;59;31;11;3;7;22.2;23.220680437919988;3;59;143.5;796;552.5;1892;824;841.6;647.4279303520972;143.5;1892;18;19;29;15;17;19.6;5.458937625582472;15;29
Math;50;1;1;1;1;1;1.0;0.0;1;1;2780.5;2883;1269;2654;2171;2351.5;663.781967215139;1269;2883;1;1;1;1;1;1.0;0.0;1;1
Math;51;52;58;28;92;293;104.6;107.77198151653333;28;293;1187;1147;791.5;2063;1421;1321.9;471.47698777352855;791.5;2063;1260;181;61;343;49;378.8;506.6272791707924;49;1260
Math;52;26;6;11;38;19;20.0;12.62933094031509;6;38;2081;2411;1502;1500;626;1624.0;680.8968350638737;626;2411;27;33;30;29;30;29.8;2.16794833886788;27;33
Math;53;3;3;2;2;3;2.6;0.5477225575051661;2;3;568;569.5;540.5;556;557;558.2;11.654398311367258;540.5;569.5;17;16;15;17;14;15.8;1.3038404810405297;14;17
Math;54;21;31;31;6;29;23.6;10.667708282475669;6;31;996;725;570;527;653;694.2;185.14237764488175;527;996;23;17;22;16;18;19.2;3.1144823004794873;16;23
Math;55;1;1;1;1;1;1.0;0.0;1;1;635.5;1743.5;431;33.5;1444;857.5;713.9923844131672;33.5;1743.5;6;9;10;8;14;9.4;2.9664793948382653;6;14
Math;56;4;2;5;6;4;4.2;1.4832396974191326;2;6;267.5;576.5;1840.5;177;1950.5;962.4;865.4564113807235;177;1950.5;1;2;6;15;9;6.6;5.683308895353129;1;15
Math;57;99;7;21;14;12;30.6;38.565528649300276;7;99;513;2008;311;1768.5;2222;1364.5;887.0638364852892;311;2222;1884;162;183;2423;38;938.0;1127.2025106430522;38;2423
