model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;15;2;10;4;13;2;6.2;5.019960159204453;2;13;1863.5;2626;849.5;2077;2047;1892.6;648.96507995423;849.5;2626;1326;519;1461;2395;1062;1352.6;685.2724275789884;519;2395
Math;16;1;1;2;2;2;1.6;0.5477225575051661;1;2;2084;704;1449;1161;2138;1507.2;612.1639486281432;704;2138;100;254;718;603;1296;594.2;465.8048947789192;100;1296
Math;17;71;14;55;18;31;37.8;24.509181952892675;14;71;19;1057.5;272;847.5;309;501.0;433.4118999289244;19;1057.5;87;79;101;91;102;92.0;9.695359714832659;79;102
Math;19;132;89;69;86;98;94.8;23.295922389980614;69;132;1907;2687;2713;2421.5;1978.5;2341.4;382.2112308658656;1907;2713;142;97;76;94;56;93.0;31.921779399024736;56;142
Math;21;28;36;9;34;29;27.2;10.709808588392232;9;36;47.5;1090;37;217;1262;530.7;596.4993294212493;37;1262;13;9;13;30;12;15.4;8.324662155306964;9;30
Math;22;1;1;1;1;1;1.0;0.0;1;1;487;516;314;660.5;1261.5;647.8;364.499417009136;314;1261.5;25;23;29;34;34;29.0;5.049752469181039;23;34
Math;23;42;752;455;720;1393;672.4;493.08548954517005;42;1393;1995.5;564.5;939;600.5;404.5;900.8;642.1485030738606;404.5;1995.5;213;276;256;397;208;270.0;76.57349410860131;208;397
Math;24;187;1808;111;332;278;543.2;712.0973950240234;111;1808;1780;2022;988;2009;1671;1694.0;422.2469656492513;988;2022;98;126;127;190;684;245.0;247.70950728625658;98;684
Math;25;544;544;546;544;544;544.4;0.8944271909999159;544;546;505;133;10;447;136.5;246.3;216.7583908410468;10;505;546;548;546;546;547;546.6;0.8944271909999159;546;548
Math;26;39;32;27;29;39;33.2;5.585696017507577;27;39;631;1051;1358;231.5;464;747.1;454.1536634224148;231.5;1358;32;25;10;24;14;21.0;8.888194417315589;10;32
Math;27;2;1;1;2;2;1.6;0.5477225575051661;1;2;772;1871;1432;1833;977;1377.0;495.23277355199343;772;1871;20;11;38;21;9;19.8;11.476062042355817;9;38
Math;28;15;18;14;17;12;15.2;2.3874672772626644;12;18;583;2062;368;658;2035;1141.2;835.1135850888787;368;2062;20;13;10;16;14;14.6;3.714835124201342;10;20
Math;29;37;15;12;32;11;21.4;12.177848742696717;11;37;1812;897;224.5;2404.5;856;1238.8;863.0733311833936;224.5;2404.5;33;66;69;52;60;56.0;14.404860290887934;33;69
Math;30;67;69;41;4;12;38.6;30.1711782998278;4;69;317;2207;973.5;555.5;597.5;930.1;751.5312202430449;317;2207;84;131;22;121;31;77.8;50.09690609209315;22;131
Math;31;86;100;116;121;80;100.6;17.966635745180564;80;121;2659;991;2888;1651;1981;2034.0;767.6731075138688;991;2888;114;57;103;86;96;91.2;21.67256330017287;57;114
Math;32;7;2;2;1;34;9.2;14.060583202698245;1;34;1011.5;3057;82;555;3727;1686.5;1608.7454739641073;82;3727;3;22;17;6;3;10.2;8.757853618324527;3;22
Math;33;87;65;25;53;62;58.4;22.46775467197379;25;87;4503;4428;4408.5;5285;1490.5;4023.0;1461.9537868893121;1490.5;5285;19;11;11;24;15;16.0;5.5677643628300215;11;24
Math;34;1;1;1;1;1;1.0;0.0;1;1;176;59.5;47;137.5;145;113.0;56.593948439740444;47;176;12;3;5;19;3;8.4;6.985699678629192;3;19
Math;35;10;7;10;9;5;8.2;2.16794833886788;5;10;375;342;357;309;354.5;347.5;24.535688292770594;309;375;11;6;30;1;6;10.8;11.30044246921332;1;30
Math;36;1;1;1;1;1;1.0;0.0;1;1;467.5;249;420;179;267;316.5;121.88724297480849;179;467.5;139;171;257;303;108;195.6;81.83397827308654;108;303
Math;37;8;8;7;8;7;7.6;0.5477225575051661;7;8;426;1171.5;104.5;292;94;417.6;443.5537453342041;94;1171.5;94;64;28;37;64;57.4;26.015380066414558;28;94
Math;38;2;1;5;13;27;9.6;10.807404868885037;1;27;3774;1557;4661;978;2612;2716.4;1522.9190063821516;978;4661;10;9;21;2;5;9.4;7.231873892705819;2;21
Math;39;340;52;756;136;637;384.2;306.6173511072066;52;756;690.5;796.5;80;149;144;372.0;342.2789432611945;80;796.5;357;399;117;667;151;338.2;221.43441466944563;117;667
Math;40;63;37;37;32;39;41.6;12.239281024635394;32;63;1272;56;252;510.5;1469;711.9;626.3360120574259;56;1469;96;50;53;53;74;65.2;19.715476154534034;50;96
Math;41;28;11;4;30;44;23.4;15.962455951387932;4;44;515.5;59;364;566;281;357.1;202.1337428535869;59;566;18;17;10;28;11;16.8;7.19027120489902;10;28
Math;42;9;15;48;38;69;35.8;24.52957398733211;9;69;1704;3529;4467;131.5;2915;2549.3;1683.1080476309296;131.5;4467;121;581;270;456;608;407.2;208.3523457991294;121;608
Math;43;528;230;594;436;189;395.4;179.32596019539392;189;594;500.5;1302;689.5;1671.5;47;842.1;646.446768883564;47;1671.5;117;234;90;145;64;130.0;65.50954128979991;64;234
Math;44;10;6;11;7;8;8.4;2.073644135332772;6;11;1342;2493;2130;2358;798.5;1824.3;726.348194738584;798.5;2493;241;121;55;106;35;111.6;80.52204667046162;35;241
Math;45;2;5;3;2;4;3.2;1.3038404810405297;2;5;131;871;44.5;460.5;1028.5;507.1;436.43518991941977;44.5;1028.5;2;1;1;1;1;1.2;0.44721359549995804;1;2
Math;46;2;2;2;2;2;2.0;0.0;2;2;1688;2057;2437;1908;2464;2110.8;336.87490259738854;1688;2464;1;2;2;1;2;1.6;0.5477225575051661;1;2
Math;47;2;2;2;2;2;2.0;0.0;2;2;357;841;1709;141;1695.5;948.7;733.1189876138798;141;1709;5;5;4;4;5;4.6;0.5477225575051662;4;5
Math;48;33;21;18;44;35;30.2;10.66302021005306;18;44;1833;669;132;172;631;687.4;687.3909368037957;132;1833;280;316;285;373;267;304.2;42.45821475286025;267;373
Math;49;25;20;17;41;10;22.6;11.631852818876277;10;41;1013;239;790.5;889;1493;884.9;450.6412653097805;239;1493;19;13;15;9;15;14.2;3.63318042491699;9;19
Math;50;1;1;1;1;1;1.0;0.0;1;1;39;2079;2110;2208;1931;1673.4;919.041511576055;39;2208;1;1;1;1;1;1.0;0.0;1;1
Math;51;374;29;33;29;32;99.4;153.5164486301061;29;374;488.5;1989.5;2311.5;1998;2101;1777.7;732.2727121776422;488.5;2311.5;464;58;43;47;45;131.4;186.01962262084075;43;464
Math;52;22;16;24;26;4;18.4;8.87693640846886;4;26;2311.5;5;1796;15;150;855.5;1110.4049936847366;5;2311.5;27;30;30;28;30;29.0;1.4142135623730951;27;30
Math;53;3;3;2;3;3;2.8;0.4472135954999579;2;3;662;571;447;234;573.5;497.5;165.997740948484;234;662;18;19;23;21;18;19.8;2.16794833886788;18;23
Math;54;18;15;10;2;25;14.0;8.631338250816034;2;25;2429.5;1025;245;985;672.5;1071.4;820.9920371112013;245;2429.5;22;20;16;19;19;19.2;2.16794833886788;16;22
Math;55;1;1;1;1;1;1.0;0.0;1;1;461.5;112;314;743;524;430.9;235.7823148584304;112;743;3;3;5;4;4;3.8;0.8366600265340756;3;5
