model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;42;4275;5314;5413;4931;5564;5099.4;516.7797403149624;4275;5564;2144;2111;865.5;4961;2942;2604.7;1512.1773870812908;865.5;4961;4648;5578;5377;5516;5471;5318.0;381.63922754350085;4648;5578
Math;43;733;440;783;349;173;495.6;258.65575578362836;173;783;1666;1389;458;1156;348;1003.4;578.3647637953059;348;1666;265;1361;1406.5;1289;27;869.7;667.2982466633641;27;1406.5
Math;44;264;931;540;829;900;692.8;285.23621789667595;264;931;1352;1914;1303;2030;361.5;1392.1;661.6228532933245;361.5;2030;1690;1295;1312;321;1285;1180.6;509.81692792609385;321;1690
Math;45;12;7;41;3;7;14.0;15.427248620541512;3;41;1175;1404;621;191.5;712;820.7;477.84824997063663;191.5;1404;613;929;576;208;1216;708.4;381.8878107507491;208;1216
Math;46;520;3;329;17;182;210.2;218.59940530568696;3;520;1092;719;2311;399.5;2470;1398.3;940.0042287138925;399.5;2470;1018;1184;1703;654;2028;1317.4;547.9906933516298;654;2028
Math;47;49;310;302;42;194;179.4;130.55956495025558;42;310;467;400.5;733.5;204.5;334;427.9;196.46609122186965;204.5;733.5;1481;856;907;802;1954;1200.0;502.510198901475;802;1954
Math;48;2279;677;1358;2625;1133;1614.4;812.2824631862982;677;2625;2196;476.5;1105;748;2844;1473.9;1007.0286986973111;476.5;2844;2394;2318;1950;1796;1293;1950.2;443.8256414404197;1293;2394
Math;49;969;435;260;73;250;397.4;344.2314628269763;73;969;994;2158;2608;2287;1003;1810.0;758.7064649783867;994;2608;424;74;191;794;1079;512.4;419.416618650239;74;1079
Math;50;824;934;41;99;162;412.0;430.21448139271183;41;934;2098;2015;1506;1599;1747;1793.0;257.1137880394593;1506;2098;2341;1979;337;1757;1312;1545.2;771.4383967628264;337;2341
Math;51;802;1729.5;1798;849;1690;1373.7;502.2003584228112;802;1798;343.5;1316;343;1625;1723;1070.1;680.3089739228787;343;1723;1092;402;2042;807;1585;1185.6;644.0243007837515;402;2042
Math;52;278;488;188;1157;650;552.2;383.17646065487895;188;1157;220.5;2818;2242;2529;2666;2095.1;1069.1685087019725;220.5;2818;567;521;51;620;571;466.0;234.6231020168304;51;620
Math;53;496;621;725;733;514;617.8;112.23056624645534;496;733;661;402;167;116;78.5;284.9;245.04703630119667;78.5;661;659;733;764;414;638;641.6;137.34372937997568;414;764
